,Density,Molar Volume,Freely Rotatable Bonds,H Acceptors,H Donors,Molecular Weight,Polar Surface Area,Boiling Point
167,1.26,196.2,3.0,2.0,0.0,248.37,76.4,421.8
168,1.595,184.3,2.0,3.0,0.0,294.17,51.8,251.6
169,2.412,145.0,2.0,1.0,0.0,349.87,41.1,340.2
170,1.331,158.6,5.0,7.0,1.0,211.18,97.0,456.7
171,1.29,304.4,4.0,5.0,1.0,393.48,51.2,598.0
172,1.069,191.0,1.0,3.0,2.0,204.27,41.1,411.7
173,1.35,122.5,1.0,3.0,0.0,166.2,64.2,288.5
174,1.631,136.7,2.0,6.0,2.0,223.21,130.0,442.8
175,1.253,257.9,4.0,5.0,0.0,323.41,72.1,413.6
176,1.921,146.2,1.0,3.0,0.0,280.95,29.0,300.0
177,1.18,138.2,4.0,3.0,1.0,163.17,53.3,374.3
178,1.276,294.8,9.0,6.0,2.0,376.41,76.7,508.0
179,1.107,374.3,13.0,6.0,0.0,414.49,71.1,479.5
180,0.87,236.9,5.0,1.0,0.0,206.32,17.1,316.4
181,0.952,628.5,19.0,3.0,1.0,598.9,46.5,732.2
182,1.656,290.0,11.0,12.0,7.0,480.42,196.0,834.4
183,1.029,125.4,4.0,3.0,2.0,129.16,60.2,272.5
184,1.7,164.5,0.0,4.0,0.0,280.92,46.6,405.6
185,1.395,126.9,2.0,2.0,2.0,177.22,71.3,378.2
186,1.79,412.7,7.0,12.0,3.0,742.94,265.0,
187,1.17,193.5,3.0,4.0,2.0,227.26,58.7,411.6
188,1.763,183.1,2.0,3.0,0.0,322.98,29.5,338.6
189,2.034,140.2,1.0,1.0,0.0,285.36,12.9,
190,1.36,292.1,2.0,3.0,1.0,398.26,36.8,550.5
191,1.271,261.3,3.0,4.0,0.0,332.35,44.8,521.8
192,1.133,211.9,5.0,2.0,0.0,240.25,34.1,335.3
193,1.224,158.5,3.0,5.0,1.0,194.19,58.6,
194,1.47,223.8,2.0,4.0,0.0,330.18,38.1,483.2
195,1.208,150.7,4.0,2.0,1.0,182.24,65.5,
196,1.082,197.9,4.0,4.0,0.0,214.26,44.8,282.5
197,1.37,172.1,2.0,5.0,0.0,236.22,61.8,477.9
198,1.387,161.6,4.0,5.0,2.0,224.21,76.0,502.7
199,1.132,231.6,6.0,4.0,1.0,262.3,55.8,415.4
200,1.245,204.0,3.0,3.0,1.0,254.28,38.7,480.7
201,1.281,231.2,2.0,5.0,0.0,296.32,59.5,493.4
202,1.058,221.4,3.0,2.0,2.0,234.33,40.5,349.4
203,1.051,243.8,4.0,2.0,1.0,256.34,29.5,340.2
204,1.198,147.8,1.0,1.0,2.0,177.27,54.3,348.5
205,,,,,,,,
206,1.12,202.9,5.0,3.0,0.0,229.22,30.8,269.3
207,1.41,249.0,5.0,8.0,2.0,353.33,123.0,574.0
208,1.5,278.1,4.0,4.0,0.0,417.26,77.9,613.1
209,1.169,234.4,6.0,4.0,0.0,274.31,52.6,342.8
210,1.09,239.1,9.0,5.0,0.0,262.3,68.1,386.4
211,1.86,155.0,1.0,7.0,2.0,289.08,99.3,
212,1.08,263.7,3.0,3.0,1.0,285.41,65.5,410.8
213,1.196,196.7,3.0,4.0,2.0,235.28,58.6,419.2
214,0.991,153.5,2.0,3.0,1.0,152.19,52.9,353.5
215,1.245,579.0,16.0,4.0,4.0,721.07,182.0,819.9
216,1.176,241.6,5.0,5.0,2.0,284.38,95.7,375.6
217,1.514,296.1,8.0,11.0,2.0,448.41,177.0,717.9
